"","NUTS_ID","STAT_LEVL_","SHAPE_AREA","SHAPE_LEN","lon","lat"
"0","BG",0,12.2051024679,22.7384941265,25.2352364156491,42.7573364081621
"1","CY",0,0.914825161332,6.51833915902,33.2250754398095,35.0496132821641
"2","DE",0,45.9405168977,74.7799664038,10.379296156908,51.0912037091053
"3","CH",0,4.86569185207,19.2365881405,8.22996170932418,46.8001429133356
"4","CZ",0,9.83864246856,22.8740226111,15.3316064826644,49.7389932174839
"5","DK",0,6.20058603468,71.4474279119,9.31632630729496,56.0320571122906
"6","EE",0,7.00985174132,32.8112439181,25.8377838428371,58.6835786171522
"7","EL",0,13.7017084743,121.307803599,22.6532110056825,39.9520871154671
"8","ES",0,53.5917762233,74.7335178354,-3.55419657859763,40.3899732598574
"9","FI",0,62.9206645795,147.943566806,26.2810185927747,64.5196642219004
"10","FR",0,71.7705013485,110.1969051,2.45970037169684,46.6246239973209
"11","IE",0,9.39286238882,60.0864406692,-8.13913155195574,53.1766983187327
"12","HU",0,11.0350811998,22.2480231088,19.4122667563929,47.1653432866712
"13","HR",0,6.45219726851,62.5266061356,16.4271037453795,45.1403683676611
"14","IS",0,19.5129043953,78.6325077765,-18.5795548182614,64.984324780591
"15","IT",0,33.1184728415,86.0067003789,12.1604729630452,43.5227604591958
"16","LI",0,0.0190159078193,0.746857969008,9.55280659305781,47.1419329242332
"17","LT",0,9.18820850846,20.1778654781,23.9043776417804,55.3366814039336
"18","LU",0,0.32381131361,3.39851437628,6.09243662921426,49.7768295193475
"19","LV",0,9.50786613715,21.87726068,24.9269964932861,56.8540076678673
"20","ME",0,1.52654704393,8.82578747798,19.2518342395917,42.7874880049266
"21","MK",0,2.74713266932,8.27156490311,21.7009599101117,41.6005540488661
"22","MT",0,0.0314620350342,1.38084360182,14.43838988088,35.8890919342913
"23","NL",0,4.91920296657,25.0019254863,5.62736460512175,52.2757225584502
"24","NO",0,60.2085506205,550.105978441,14.0014945334156,64.2379614184147
"25","PL",0,40.9437602273,42.3605129237,19.4062669806206,52.1222288668773
"26","PT",0,9.64890725205,31.6926812226,-7.96421860063383,39.6844345204848
"27","RO",0,27.6149260614,32.6539858497,24.9844851390324,45.8390735862903
"28","SE",0,79.0556260743,170.01056489,16.7442930397946,62.8367137378574
"29","SI",0,2.35967475798,12.3264620242,14.8214284812692,46.1192658829956
"30","SK",0,5.9890874253,16.6947833711,19.4849629536559,48.7075636673861
"31","TR",0,81.231478194,91.6248263682,35.4336514112159,38.988630672435
"32","UK",0,33.6426030404,195.583872788,-2.5227824925104,53.9439507458646
"33","CZ0",1,9.83864246856,22.8740226111,15.3316064826644,49.7389932174839
"34","AT1",1,2.84885478975,13.056618453,15.8911532409372,48.14981268496
"35","AT2",1,3.07551395618,12.1834141274,14.6118729432794,47.08812009446
"36","BE2",1,1.74109048574,11.1294862149,4.23479164042526,51.036671361168
"37","BE3",1,2.13361736079,12.3127003295,5.01659222125466,50.3132324786569
"38","BG3",1,7.56032483526,20.5772334604,25.8587732822891,43.1483469638941
"39","BG4",1,4.64477763263,14.9338568617,24.2203027349832,42.1208868191481
"40","CY0",1,0.914825161332,6.51833915902,33.2250754398095,35.0496132821641
"41","AT3",1,4.11413342274,22.248324645,12.5756082405419,47.5702113200205
"42","BE1",1,0.020726905249,0.697032012627,4.37024564182162,50.8362158256272
"43","DE8",1,3.14421103117,24.5042842882,12.4716958027888,53.7171072835589
"44","DE9",1,6.35933085428,26.270999986,9.16213168751177,52.7677582323388
"45","DEA",1,4.41502722271,17.2215111635,7.56253276261943,51.4798875873995
"46","CH0",1,4.86569185207,19.2365881405,8.22996170932418,46.8001429133356
"47","DE1",1,4.38721986444,15.0855238197,9.04828936709784,48.5392215088698
"48","DE2",1,8.66369220744,25.1557593584,11.419226050152,48.946908741013
"49","DE3",1,0.118492461806,2.4329317667,13.4009998426642,52.5014169126638
"50","DE4",1,3.92139591824,16.7858797277,13.3977700791804,52.4734944693041
"51","DE5",1,0.0560917995302,2.07396797665,8.78588470991801,53.1084248657454
"52","DE6",1,0.101931196781,2.18051323838,10.023502533974,53.5443967385082
"53","DE7",1,2.68086612259,13.8836815724,9.03119578381173,50.6027557070663
"54","RO1",1,8.0336892291,17.1694062212,24.0700067410004,46.715217244667
"55","RO2",1,8.45527867929,23.9751242893,27.2354670295736,46.1460537227398
"56","SE2",1,12.6619465855,55.994616806,13.8842177037608,57.3914833935393
"57","SK0",1,5.9890874253,16.6947833711,19.4849629536559,48.7075636673861
"58","TR1",1,0.573064900896,5.7905452541,28.4979409077179,41.2070988319452
"59","TR4",1,5.21805933493,17.2041528718,30.4594393351791,40.2141426992836
"60","TR5",1,7.74856672858,18.7286772331,32.6731077317774,38.5189664310276
"61","TR7",1,9.54798908752,18.7592540022,35.642928386785,39.1228012723155
"62","RO3",1,4.11128496208,12.9067210082,25.8991692910867,44.6049490569819
"63","TR2",1,4.55993452684,23.2047237806,27.4853535110764,39.7788283672553
"64","TR6",1,9.04612710152,31.751346987,33.5955272226734,37.2118600019267
"65","RO4",1,7.01467319097,18.2249422884,22.782606135826,45.1889678123137
"66","TR8",1,7.92421225203,17.0771865373,34.5759817612808,40.9944728050933
"67","TR9",1,3.73853975388,15.22125462,39.6515875611162,40.7590962188809
"68","TR3",1,9.18461895831,30.9527967429,28.8831669663706,38.300304377278
"69","TRA",1,7.46966329126,20.3681458288,41.810063382297,40.0468236727563
"70","TRB",1,8.46017487761,23.2615821016,41.3705857221492,38.5975127539339
